product_id,product_name,category,units_sold,revenue,estimated_gross_profit
310,Relaxed Ribbed Trousers,Pants,36,2379.30,1130.10
60,Modern Cotton Tee,T-Shirts,25,1919.95,903.70
116,Modern High-Waist Trousers,Pants,26,1907.66,621.18
469,Dresses Drop 1,Dresses,29,1858.32,990.35
459,Bold High-Waist Dress,Dresses,24,1804.08,1051.92
224,Relaxed Linen Dress,Dresses,22,1658.80,812.24
297,Essential High-Waist Shoes,Shoes,25,1603.18,575.18
307,Essential Crew Tee,T-Shirts,24,1598.19,707.55
239,Polished Wrap Trousers,Pants,25,1594.37,600.12
10,Soft Ribbed Trousers,Pants,20,1594.00,617.80
